policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,k,gamma
P4,2,3,29,70,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7138107591130767,42.76215182261534,1.0,0.3
P4,2,3,30,71,0.7710155856877852,0.8077262343458991,nonlinear,365,100,0.5,0.7094300087915093,41.88600175830186,1.0,0.3
P5,1,4,1,42,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6971907292591633,39.43814585183265,1.0,0.3
P5,1,4,2,43,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6973690202974725,39.4738040594945,1.0,0.3
P5,1,4,3,44,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.698484451988036,39.6968903976072,1.0,0.3
P5,1,4,4,45,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6994410797319759,39.88821594639518,1.0,0.3
P5,1,4,5,46,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6996094324144945,39.92188648289889,1.0,0.3
P5,1,4,6,47,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7008877246297204,40.177544925944076,1.0,0.3
P5,1,4,7,48,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6975170314696669,39.50340629393339,1.0,0.3
P5,1,4,8,49,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6993482432521259,39.86964865042517,1.0,0.3
P5,1,4,9,50,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6951265935577983,39.025318711559656,1.0,0.3
P5,1,4,10,51,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7003622660373261,40.072453207465216,1.0,0.3
P5,1,4,11,52,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7015545023062258,40.31090046124517,1.0,0.3
P5,1,4,12,53,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7006282062977277,40.12564125954554,1.0,0.3
P5,1,4,13,54,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7001235928178868,40.024718563577366,1.0,0.3
P5,1,4,14,55,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6999917942702799,39.99835885405598,1.0,0.3
P5,1,4,15,56,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7004091168020531,40.08182336041062,1.0,0.3
P5,1,4,16,57,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.697262515501743,39.4525031003486,1.0,0.3
