policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,initial_engagement_assumption
P5,1,4,23,64,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.569855355136759,89.95178504558635,0.3
P5,1,4,24,65,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.580076922275695,93.35897409189833,0.3
P5,1,4,25,66,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5782082789238404,92.73609297461348,0.3
P5,1,4,26,67,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5793031724074931,93.10105746916436,0.3
P5,1,4,27,68,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5826454739858917,94.21515799529725,0.3
P5,1,4,28,69,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.58058690440217,93.52896813405667,0.3
P5,1,4,29,70,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5798934600473326,93.29782001577752,0.3
P5,1,4,30,71,0.9384166061432972,0.5577708763999663,nonlinear,365,100,0.3,0.5716415740765302,90.54719135884339,0.3
P6,0,5,1,42,1.0,0.2,nonlinear,365,100,0.3,0.49642867464346474,65.47622488115492,0.3
P6,0,5,2,43,1.0,0.2,nonlinear,365,100,0.3,0.494143222853688,64.71440761789601,0.3
P6,0,5,3,44,1.0,0.2,nonlinear,365,100,0.3,0.4971185051910378,65.7061683970126,0.3
P6,0,5,4,45,1.0,0.2,nonlinear,365,100,0.3,0.4971448903935476,65.71496346451588,0.3
P6,0,5,5,46,1.0,0.2,nonlinear,365,100,0.3,0.4980194634613452,66.0064878204484,0.3
P6,0,5,6,47,1.0,0.2,nonlinear,365,100,0.3,0.4995614982291393,66.52049940971311,0.3
P6,0,5,7,48,1.0,0.2,nonlinear,365,100,0.3,0.4947769042127245,64.92563473757484,0.3
P6,0,5,8,49,1.0,0.2,nonlinear,365,100,0.3,0.4957608884784892,65.25362949282975,0.3
P6,0,5,9,50,1.0,0.2,nonlinear,365,100,0.3,0.4906465357185648,63.54884523952161,0.3
P6,0,5,10,51,1.0,0.2,nonlinear,365,100,0.3,0.4984589300677758,66.15297668925861,0.3
P6,0,5,11,52,1.0,0.2,nonlinear,365,100,0.3,0.4997157328373701,66.57191094579004,0.3
P6,0,5,12,53,1.0,0.2,nonlinear,365,100,0.3,0.49975361186198297,66.58453728732766,0.3
P6,0,5,13,54,1.0,0.2,nonlinear,365,100,0.3,0.4980692918751531,66.0230972917177,0.3
P6,0,5,14,55,1.0,0.2,nonlinear,365,100,0.3,0.49788583805024367,65.9619460167479,0.3
P6,0,5,15,56,1.0,0.2,nonlinear,365,100,0.3,0.49656352002455356,65.52117334151785,0.3
P6,0,5,16,57,1.0,0.2,nonlinear,365,100,0.3,0.4964343787688933,65.47812625629777,0.3
P6,0,5,17,58,1.0,0.2,nonlinear,365,100,0.3,0.4956835487591292,65.2278495863764,0.3
P6,0,5,18,59,1.0,0.2,nonlinear,365,100,0.3,0.498827019087736,66.27567302924535,0.3
P6,0,5,19,60,1.0,0.2,nonlinear,365,100,0.3,0.4950762099663428,65.02540332211426,0.3
P6,0,5,20,61,1.0,0.2,nonlinear,365,100,0.3,0.4945222359923029,64.84074533076763,0.3
P6,0,5,21,62,1.0,0.2,nonlinear,365,100,0.3,0.5076338209534981,69.21127365116602,0.3
P6,0,5,22,63,1.0,0.2,nonlinear,365,100,0.3,0.49634503041147876,65.44834347049293,0.3
P6,0,5,23,64,1.0,0.2,nonlinear,365,100,0.3,0.4889814215555506,62.993807185183535,0.3
P6,0,5,24,65,1.0,0.2,nonlinear,365,100,0.3,0.49908026665250244,66.3600888841675,0.3
P6,0,5,25,66,1.0,0.2,nonlinear,365,100,0.3,0.5014526814515837,67.15089381719459,0.3
P6,0,5,26,67,1.0,0.2,nonlinear,365,100,0.3,0.5010316849912824,67.0105616637608,0.3
P6,0,5,27,68,1.0,0.2,nonlinear,365,100,0.3,0.502729994206633,67.57666473554434,0.3
P6,0,5,28,69,1.0,0.2,nonlinear,365,100,0.3,0.5011883451603331,67.06278172011103,0.3
P6,0,5,29,70,1.0,0.2,nonlinear,365,100,0.3,0.5034241106476125,67.80803688253751,0.3
P6,0,5,30,71,1.0,0.2,nonlinear,365,100,0.3,0.4913467049383754,63.78223497945847,0.3
P1,5,0,1,42,0.2,1.0,nonlinear,365,100,0.5,0.6889736378220522,37.794727564410444,0.5
P1,5,0,2,43,0.2,1.0,nonlinear,365,100,0.5,0.6918996779964706,38.379935599294114,0.5
P1,5,0,3,44,0.2,1.0,nonlinear,365,100,0.5,0.690888280930465,38.17765618609299,0.5
P1,5,0,4,45,0.2,1.0,nonlinear,365,100,0.5,0.6929665591702927,38.59331183405854,0.5
P1,5,0,5,46,0.2,1.0,nonlinear,365,100,0.5,0.6922323961266099,38.44647922532198,0.5
P1,5,0,6,47,0.2,1.0,nonlinear,365,100,0.5,0.6934548646434143,38.69097292868287,0.5
P1,5,0,7,48,0.2,1.0,nonlinear,365,100,0.5,0.6911629271725501,38.23258543451003,0.5
P1,5,0,8,49,0.2,1.0,nonlinear,365,100,0.5,0.6946972263915329,38.93944527830657,0.5
P1,5,0,9,50,0.2,1.0,nonlinear,365,100,0.5,0.6909463489827055,38.18926979654109,0.5
P1,5,0,10,51,0.2,1.0,nonlinear,365,100,0.5,0.6933530506492804,38.67061012985609,0.5
P1,5,0,11,52,0.2,1.0,nonlinear,365,100,0.5,0.6949488422122617,38.989768442452345,0.5
P1,5,0,12,53,0.2,1.0,nonlinear,365,100,0.5,0.6924405455783834,38.488109115676686,0.5
P1,5,0,13,54,0.2,1.0,nonlinear,365,100,0.5,0.6929623844201651,38.59247688403302,0.5
P1,5,0,14,55,0.2,1.0,nonlinear,365,100,0.5,0.6935448230618201,38.708964612364014,0.5
P1,5,0,15,56,0.2,1.0,nonlinear,365,100,0.5,0.6954939621083184,39.098792421663674,0.5
P1,5,0,16,57,0.2,1.0,nonlinear,365,100,0.5,0.68873847746397,37.747695492793994,0.5
P1,5,0,17,58,0.2,1.0,nonlinear,365,100,0.5,0.6968066914920398,39.36133829840796,0.5
P1,5,0,18,59,0.2,1.0,nonlinear,365,100,0.5,0.6910330418505457,38.20660837010914,0.5
P1,5,0,19,60,0.2,1.0,nonlinear,365,100,0.5,0.6918074701368152,38.361494027363044,0.5
P1,5,0,20,61,0.2,1.0,nonlinear,365,100,0.5,0.6872843475508059,37.456869510161184,0.5
P1,5,0,21,62,0.2,1.0,nonlinear,365,100,0.5,0.6941539121316267,38.83078242632534,0.5
P1,5,0,22,63,0.2,1.0,nonlinear,365,100,0.5,0.6878730583423711,37.57461166847422,0.5
P1,5,0,23,64,0.2,1.0,nonlinear,365,100,0.5,0.6909930052953448,38.19860105906896,0.5
P1,5,0,24,65,0.2,1.0,nonlinear,365,100,0.5,0.6975078016414115,39.501560328282295,0.5
P1,5,0,25,66,0.2,1.0,nonlinear,365,100,0.5,0.6894618657644402,37.89237315288805,0.5
P1,5,0,26,67,0.2,1.0,nonlinear,365,100,0.5,0.6947360282762371,38.94720565524743,0.5
P1,5,0,27,68,0.2,1.0,nonlinear,365,100,0.5,0.6990262022047495,39.80524044094991,0.5
P1,5,0,28,69,0.2,1.0,nonlinear,365,100,0.5,0.6987806855075079,39.75613710150159,0.5
P1,5,0,29,70,0.2,1.0,nonlinear,365,100,0.5,0.6915003835989488,38.300076719789764,0.5
P1,5,0,30,71,0.2,1.0,nonlinear,365,100,0.5,0.692112359702659,38.42247194053181,0.5
P2,4,1,1,42,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7049805295770347,40.99610591540694,0.5
P2,4,1,2,43,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7069458961697446,41.389179233948916,0.5
P2,4,1,3,44,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7065755573282655,41.315111465653096,0.5
P2,4,1,4,45,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7084511430983728,41.69022861967455,0.5
P2,4,1,5,46,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.707787945064054,41.557589012810794,0.5
P2,4,1,6,47,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7092457133802209,41.84914267604418,0.5
P2,4,1,7,48,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7064493722126889,41.28987444253778,0.5
P2,4,1,8,49,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7092228193273257,41.84456386546513,0.5
P2,4,1,9,50,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7052883490707976,41.057669814159524,0.5
P2,4,1,10,51,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7093143855607151,41.862877112143025,0.5
P2,4,1,11,52,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7104391595644682,42.08783191289365,0.5
P2,4,1,12,53,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7084882530874183,41.69765061748365,0.5
P2,4,1,13,54,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7085951244936579,41.71902489873158,0.5
P2,4,1,14,55,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.708981120156769,41.79622403135379,0.5
P2,4,1,15,56,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7101805746136313,42.036114922726256,0.5
P2,4,1,16,57,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7048615840193893,40.97231680387785,0.5
P2,4,1,17,58,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7109851169240824,42.197023384816475,0.5
P2,4,1,18,59,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.5,0.7071901945848665,41.438038916973305,0.5
